2023-11-25 21:12:14: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:12:15: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:12:16: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:12:17: {'temperature': 30.1, 'humidity': 0.34}
2023-11-25 21:12:18: {'temperature': 30.1, 'humidity': 0.34}
2023-11-25 21:12:19: {'temperature': 30.1, 'humidity': 0.34}
2023-11-25 21:12:20: {'temperature': 30.1, 'humidity': 0.34}
2023-11-25 21:12:21: {'temperature': 30.1, 'humidity': 0.34}
2023-11-25 21:12:22: {'temperature': 30.1, 'humidity': 0.34}
2023-11-25 21:12:23: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:12:24: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:12:25: {'temperature': 30.2, 'humidity': 0.36}
2023-11-25 21:12:26: {'temperature': 30.2, 'humidity': 0.39}
2023-11-25 21:12:27: {'temperature': 30.3, 'humidity': 0.44}
2023-11-25 21:12:28: {'temperature': 30.7, 'humidity': 0.63}
2023-11-25 21:12:29: {'temperature': 31.6, 'humidity': 0.73}
2023-11-25 21:12:39: {'temperature': 31.9, 'humidity': 0.49}
2023-11-25 21:12:40: {'temperature': 31.7, 'humidity': 0.44}
2023-11-25 21:12:41: {'temperature': 31.6, 'humidity': 0.41}
2023-11-25 21:12:42: {'temperature': 31.5, 'humidity': 0.39}
2023-11-25 21:12:43: {'temperature': 31.4, 'humidity': 0.38}
2023-11-25 21:12:44: {'temperature': 31.3, 'humidity': 0.37}
2023-11-25 21:12:45: {'temperature': 31.2, 'humidity': 0.37}
2023-11-25 21:12:46: {'temperature': 31.2, 'humidity': 0.36}
2023-11-25 21:12:47: {'temperature': 31.1, 'humidity': 0.36}
2023-11-25 21:12:48: {'temperature': 31.0, 'humidity': 0.35}
2023-11-25 21:12:49: {'temperature': 30.9, 'humidity': 0.35}
2023-11-25 21:12:50: {'temperature': 30.8, 'humidity': 0.35}
2023-11-25 21:12:51: {'temperature': 30.8, 'humidity': 0.35}
2023-11-25 21:12:53: {'temperature': 30.7, 'humidity': 0.35}
2023-11-25 21:12:54: {'temperature': 30.7, 'humidity': 0.35}
2023-11-25 21:12:55: {'temperature': 30.7, 'humidity': 0.35}
2023-11-25 21:12:56: {'temperature': 30.6, 'humidity': 0.35}
2023-11-25 21:12:57: {'temperature': 30.6, 'humidity': 0.35}
2023-11-25 21:12:58: {'temperature': 30.6, 'humidity': 0.35}
2023-11-25 21:12:59: {'temperature': 30.5, 'humidity': 0.35}
2023-11-25 21:13:00: {'temperature': 30.5, 'humidity': 0.35}
2023-11-25 21:13:01: {'temperature': 30.4, 'humidity': 0.35}
2023-11-25 21:13:02: {'temperature': 30.4, 'humidity': 0.35}
2023-11-25 21:13:03: {'temperature': 30.3, 'humidity': 0.34}
2023-11-25 21:13:04: {'temperature': 30.3, 'humidity': 0.34}
2023-11-25 21:13:05: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:13:06: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:13:07: {'temperature': 30.2, 'humidity': 0.34}
2023-11-25 21:13:08: {'temperature': 30.1, 'humidity': 0.34}
2023-11-25 21:13:09: {'temperature': 30.1, 'humidity': 0.34}
2023-11-25 21:13:10: {'temperature': 30.0, 'humidity': 0.34}
2023-11-25 21:13:11: {'temperature': 30.0, 'humidity': 0.34}
2023-11-25 21:13:13: {'temperature': 30.0, 'humidity': 0.34}
2023-11-25 21:13:14: {'temperature': 29.9, 'humidity': 0.34}
2023-11-25 21:13:15: {'temperature': 29.9, 'humidity': 0.34}
2023-11-25 21:13:16: {'temperature': 29.9, 'humidity': 0.34}
2023-11-25 21:13:17: {'temperature': 29.9, 'humidity': 0.34}
2023-11-25 21:13:18: {'temperature': 29.8, 'humidity': 0.35}
2023-11-25 21:13:19: {'temperature': 29.8, 'humidity': 0.35}
2023-11-25 21:13:20: {'temperature': 29.7, 'humidity': 0.35}
2023-11-25 21:13:21: {'temperature': 29.7, 'humidity': 0.35}
2023-11-25 21:13:22: {'temperature': 29.7, 'humidity': 0.35}
2023-11-25 21:13:23: {'temperature': 29.7, 'humidity': 0.35}
2023-11-25 21:13:24: {'temperature': 29.6, 'humidity': 0.35}
2023-11-25 21:13:25: {'temperature': 29.6, 'humidity': 0.35}
2023-11-25 21:13:26: {'temperature': 29.6, 'humidity': 0.35}
2023-11-25 21:13:27: {'temperature': 29.5, 'humidity': 0.35}
2023-11-25 21:13:28: {'temperature': 29.5, 'humidity': 0.35}
2023-11-25 21:13:29: {'temperature': 29.5, 'humidity': 0.35}
2023-11-25 21:13:30: {'temperature': 29.4, 'humidity': 0.35}
2023-11-25 21:13:31: {'temperature': 29.4, 'humidity': 0.35}
